filename	celltype	cell_name	donor
GSM2324443_CLP_1_D1_10_R1.txt.scwgbs	CLP	CLP_1_D1_10_R1	D1
GSM2324444_CLP_1_D1_11_R1.txt.scwgbs	CLP	CLP_1_D1_11_R1	D1
GSM2324445_CLP_1_D1_13_R1.txt.scwgbs	CLP	CLP_1_D1_13_R1	D1
GSM2324446_CLP_1_D1_14_R1.txt.scwgbs	CLP	CLP_1_D1_14_R1	D1
GSM2324447_CLP_1_D1_15_R1.txt.scwgbs	CLP	CLP_1_D1_15_R1	D1
GSM2324448_CLP_1_D1_16_R1.txt.scwgbs	CLP	CLP_1_D1_16_R1	D1
GSM2324449_CLP_1_D1_17_R1.txt.scwgbs	CLP	CLP_1_D1_17_R1	D1
GSM2324450_CLP_1_D1_18_R1.txt.scwgbs	CLP	CLP_1_D1_18_R1	D1
GSM2324451_CLP_1_D1_19_R1.txt.scwgbs	CLP	CLP_1_D1_19_R1	D1
GSM2324452_CLP_1_D1_1_R1.txt.scwgbs	CLP	CLP_1_D1_1_R1	D1
GSM2324453_CLP_1_D1_20_R1.txt.scwgbs	CLP	CLP_1_D1_20_R1	D1
GSM2324454_CLP_1_D1_22_R1.txt.scwgbs	CLP	CLP_1_D1_22_R1	D1
GSM2324455_CLP_1_D1_23_R1.txt.scwgbs	CLP	CLP_1_D1_23_R1	D1
GSM2324456_CLP_1_D1_24_R1.txt.scwgbs	CLP	CLP_1_D1_24_R1	D1
GSM2324457_CLP_1_D1_2_R1.txt.scwgbs	CLP	CLP_1_D1_2_R1	D1
GSM2324458_CLP_1_D1_3_R1.txt.scwgbs	CLP	CLP_1_D1_3_R1	D1
GSM2324459_CLP_1_D1_4_R1.txt.scwgbs	CLP	CLP_1_D1_4_R1	D1
GSM2324460_CLP_1_D1_5_R1.txt.scwgbs	CLP	CLP_1_D1_5_R1	D1
GSM2324461_CLP_1_D1_6_R1.txt.scwgbs	CLP	CLP_1_D1_6_R1	D1
GSM2324462_CLP_1_D1_7_R1.txt.scwgbs	CLP	CLP_1_D1_7_R1	D1
GSM2324463_CLP_1_D1_9_R1.txt.scwgbs	CLP	CLP_1_D1_9_R1	D1
GSM2324497_CMP_1_D2_10_R1.txt.scwgbs	CMP	CMP_1_D2_10_R1	D2
GSM2324498_CMP_1_D2_11_R1.txt.scwgbs	CMP	CMP_1_D2_11_R1	D2
GSM2324499_CMP_1_D2_12_R1.txt.scwgbs	CMP	CMP_1_D2_12_R1	D2
GSM2324500_CMP_1_D2_13_R1.txt.scwgbs	CMP	CMP_1_D2_13_R1	D2
GSM2324501_CMP_1_D2_14_R1.txt.scwgbs	CMP	CMP_1_D2_14_R1	D2
GSM2324502_CMP_1_D2_15_R1.txt.scwgbs	CMP	CMP_1_D2_15_R1	D2
GSM2324503_CMP_1_D2_18_R1.txt.scwgbs	CMP	CMP_1_D2_18_R1	D2
GSM2324504_CMP_1_D2_1_R1.txt.scwgbs	CMP	CMP_1_D2_1_R1	D2
GSM2324505_CMP_1_D2_20_R1.txt.scwgbs	CMP	CMP_1_D2_20_R1	D2
GSM2324506_CMP_1_D2_21_R1.txt.scwgbs	CMP	CMP_1_D2_21_R1	D2
GSM2324507_CMP_1_D2_23_R1.txt.scwgbs	CMP	CMP_1_D2_23_R1	D2
GSM2324508_CMP_1_D2_2_R1.txt.scwgbs	CMP	CMP_1_D2_2_R1	D2
GSM2324509_CMP_1_D2_3_R1.txt.scwgbs	CMP	CMP_1_D2_3_R1	D2
GSM2324510_CMP_1_D2_4_R1.txt.scwgbs	CMP	CMP_1_D2_4_R1	D2
GSM2324511_CMP_1_D2_5_R1.txt.scwgbs	CMP	CMP_1_D2_5_R1	D2
GSM2324512_CMP_1_D2_6_R1.txt.scwgbs	CMP	CMP_1_D2_6_R1	D2
GSM2324513_CMP_1_D2_7_R1.txt.scwgbs	CMP	CMP_1_D2_7_R1	D2
GSM2324514_CMP_1_D2_8_R1.txt.scwgbs	CMP	CMP_1_D2_8_R1	D2
GSM2324515_CMP_1_D2_9_R1.txt.scwgbs	CMP	CMP_1_D2_9_R1	D2
GSM2324549_GMP_1_D1_10_R1.txt.scwgbs	GMP	GMP_1_D1_10_R1	D1
GSM2324550_GMP_1_D1_12_R1.txt.scwgbs	GMP	GMP_1_D1_12_R1	D1
GSM2324551_GMP_1_D1_13_R1.txt.scwgbs	GMP	GMP_1_D1_13_R1	D1
GSM2324552_GMP_1_D1_14_R1.txt.scwgbs	GMP	GMP_1_D1_14_R1	D1
GSM2324553_GMP_1_D1_15_R1.txt.scwgbs	GMP	GMP_1_D1_15_R1	D1
GSM2324554_GMP_1_D1_16_R1.txt.scwgbs	GMP	GMP_1_D1_16_R1	D1
GSM2324555_GMP_1_D1_17_R1.txt.scwgbs	GMP	GMP_1_D1_17_R1	D1
GSM2324556_GMP_1_D1_18_R1.txt.scwgbs	GMP	GMP_1_D1_18_R1	D1
GSM2324557_GMP_1_D1_19_R1.txt.scwgbs	GMP	GMP_1_D1_19_R1	D1
GSM2324558_GMP_1_D1_1_R1.txt.scwgbs	GMP	GMP_1_D1_1_R1	D1
GSM2324559_GMP_1_D1_20_R1.txt.scwgbs	GMP	GMP_1_D1_20_R1	D1
GSM2324560_GMP_1_D1_21_R1.txt.scwgbs	GMP	GMP_1_D1_21_R1	D1
GSM2324561_GMP_1_D1_22_R1.txt.scwgbs	GMP	GMP_1_D1_22_R1	D1
GSM2324562_GMP_1_D1_23_R1.txt.scwgbs	GMP	GMP_1_D1_23_R1	D1
GSM2324563_GMP_1_D1_24_R1.txt.scwgbs	GMP	GMP_1_D1_24_R1	D1
GSM2324564_GMP_1_D1_2_R1.txt.scwgbs	GMP	GMP_1_D1_2_R1	D1
GSM2324565_GMP_1_D1_4_R1.txt.scwgbs	GMP	GMP_1_D1_4_R1	D1
GSM2324566_GMP_1_D1_5_R1.txt.scwgbs	GMP	GMP_1_D1_5_R1	D1
GSM2324567_GMP_1_D1_6_R1.txt.scwgbs	GMP	GMP_1_D1_6_R1	D1
GSM2324568_GMP_1_D1_7_R1.txt.scwgbs	GMP	GMP_1_D1_7_R1	D1
GSM2324569_GMP_1_D1_8_R1.txt.scwgbs	GMP	GMP_1_D1_8_R1	D1
GSM2324570_GMP_1_D1_9_R1.txt.scwgbs	GMP	GMP_1_D1_9_R1	D1
GSM2324625_HSC_1_D4_11_R1.txt.scwgbs	HSC	HSC_1_D4_11_R1	D4
GSM2324626_HSC_1_D4_12_R1.txt.scwgbs	HSC	HSC_1_D4_12_R1	D4
GSM2324627_HSC_1_D4_13_R1.txt.scwgbs	HSC	HSC_1_D4_13_R1	D4
GSM2324628_HSC_1_D4_14_R1.txt.scwgbs	HSC	HSC_1_D4_14_R1	D4
GSM2324629_HSC_1_D4_15_R1.txt.scwgbs	HSC	HSC_1_D4_15_R1	D4
GSM2324630_HSC_1_D4_16_R1.txt.scwgbs	HSC	HSC_1_D4_16_R1	D4
GSM2324631_HSC_1_D4_17_R1.txt.scwgbs	HSC	HSC_1_D4_17_R1	D4
GSM2324632_HSC_1_D4_18_R1.txt.scwgbs	HSC	HSC_1_D4_18_R1	D4
GSM2324633_HSC_1_D4_1_R1.txt.scwgbs	HSC	HSC_1_D4_1_R1	D4
GSM2324634_HSC_1_D4_21_R1.txt.scwgbs	HSC	HSC_1_D4_21_R1	D4
GSM2324635_HSC_1_D4_24_R1.txt.scwgbs	HSC	HSC_1_D4_24_R1	D4
GSM2324636_HSC_1_D4_2_R1.txt.scwgbs	HSC	HSC_1_D4_2_R1	D4
GSM2324637_HSC_1_D4_3_R1.txt.scwgbs	HSC	HSC_1_D4_3_R1	D4
GSM2324638_HSC_1_D4_4_R1.txt.scwgbs	HSC	HSC_1_D4_4_R1	D4
